Title,Synopsis,Links
Mission : Impossible – The Final Reckoning,Ce film est présenté en hors-compétition au Festival de Cannes 2025.,http://www.allocine.fr/film/fichefilm_gen_cfilm=270936.html
Lilo & Stitch,L’histoire touchante et drôle d’une petite fille hawaïenne solitaire et d’un extra-terrestre fugitif qui l’aide à renouer le lien avec sa famille.,http://www.allocine.fr/film/fichefilm_gen_cfilm=268362.html
La Venue de l’avenir,Ce film est présenté en hors-compétition au Festival de Cannes 2025,http://www.allocine.fr/film/fichefilm_gen_cfilm=326174.html
Jeunes mères,Ce film est présenté en Compétition au Festival de Cannes 2025.,http://www.allocine.fr/film/fichefilm_gen_cfilm=1000005218.html
Les Maudites,"Quelque chose hante Andrea, mais personne, pas même elle, ne peut le voir à l’œil nu. Il y a vingt ans, à dix mille kilomètres de là, la même présence terrorisait Marie. Camila est la seule à pouvoir comprendre ce qui leur arrive, mais personne ne la croit. Face à cette menace oppressante, toutes trois entendent le même son écrasant : un cri.",http://www.allocine.fr/film/fichefilm_gen_cfilm=313568.html
Ollie,"À 13 ans, Pierre revient vivre à la ferme de son père après le décès brutal de sa mère. Harcelé à l'école, il se réfugie dans sa passion : le skate. Il rencontre Bertrand, un marginal qui cache un passé d'ancien skateur, et qui le prend sous son aile. Ensemble, ils vont tenter de se reconstruire.",http://www.allocine.fr/film/fichefilm_gen_cfilm=316785.html
Libertate,Décembre 1989. La révolution roumaine a débuté et la ville de Sibiu devient le théâtre de terribles affrontements. Les policiers et miliciens fidèles à Ceausescu sont arrêtés et réunis dans le bassin vide d’une piscine. Mais comment savoir qui est qui dans un tel chaos ?,http://www.allocine.fr/film/fichefilm_gen_cfilm=306892.html
Ace,"En quête d'un nouveau départ à l'étranger, Kannan se retrouve piégé dans un monde impitoyable. Lorsqu'un braquage audacieux vire au cauchemar, l'espoir fait place à la malédiction. Désormais, il devra défier le destin pour survivre. ",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000024169.html
Trou salopard,"Nicolaï Warkozeï, magnat du livre et du cinéma, auteur à succès et millionnaire a été enlevé. Magnus, son garde du corps préféré est excédé, il se met à sa recherche en ordonnant à tous ses gardes et autres tueurs de faire une enquête poussée autour d'eux et plus particulièrement auprès de 3 boss qui pourraient en vouloir à Nicolaï qui trempait aussi dans des affaires louches. Il interroge également Hélène, la femme de Nicolaï qui semble ne pas être mécontente de sa disparition. L'enquête ne fait que commencer alors que s'accumulent les cadavres autour d'eux... Il faut dire que ce sont de vrais salopards et que la plupart finira dans un trou...",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000023331.html
Narivetta,"Une plongée percutante dans les dérives du pouvoir étatique à travers les forces de l’ordre, révélant comment des institutions censées garantir la sécurité peuvent devenir des outils de contrôle, en particulier envers les populations les plus vulnérables. ",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000022590.html
Thunderbolts*,"Marvel Studios rassemble une équipe de anti-héros peu conventionnelle : Yelena Belova, Bucky Barnes, Red Guardian, Le Fantôme, Taskmaster et John Walker. Tombés dans un piège redoutable tendu par Valentina Allegra de Fontaine, ces laissés pour compte complètement désabusés doivent participer à une mission à haut risque qui les forcera à se confronter aux recoins les plus sombres de leur passé. Ce groupe dysfonctionnel se déchirera-t-il ou trouvera-t-il sa rédemption en s’unissant avant qu’il ne soit trop tard ? ",http://www.allocine.fr/film/fichefilm_gen_cfilm=297835.html
Partir un Jour,Ce film est présenté en hors-compétition au Festival de Cannes 2025 et en fait l'ouverture.,http://www.allocine.fr/film/fichefilm_gen_cfilm=1000001896.html
Les Musiciens,"Astrid Thompson parvient enfin à réaliser le rêve de son père : réunir quatre Stradivarius pour un concert unique attendu par les mélomanes du monde entier. Mais Lise, George, Peter et Apolline, les quatre virtuoses recrutés pour l’occasion, sont incapables de jouer ensemble. Les crises d’égo se succèdent au rythme des répétitions. Sans solution, Astrid se résout à aller chercher le seul qui, à ses yeux, peut encore sauver l’événement : Charlie Beaumont, le compositeur de la partition.",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000015043.html
Destination Finale Bloodlines,"Hantée par un cauchemar terrifiant qui revient sans cesse, Stefanie, étudiante à l’université, rentre chez elle pour retrouver la trace de la seule personne susceptible d’enrayer ce cycle infernal et de sauver ses proches du sort funeste qui les attend…",http://www.allocine.fr/film/fichefilm_gen_cfilm=197022.html
